Date,tmin (degrees F),tmean (degrees F),tmax (degrees F),vpdmin (hPa),vpdmax (hPa)
2018-07-20,48.9,62.4,75.9,1.14,18.33
2018-07-21,46.6,63.1,79.7,1.13,23.83
2018-07-22,46.4,64.3,82.3,1.22,27.20
2018-07-23,50.2,70.8,91.4,1.04,39.71
2018-07-24,52.9,73.0,93.0,1.07,39.31
2018-07-25,53.6,74.5,95.4,1.09,46.40
2018-07-26,53.0,74.7,96.4,1.61,47.43
2018-07-27,54.1,75.2,96.3,1.54,45.90
2018-07-28,51.9,70.9,89.8,0.89,35.57
2018-07-29,50.5,70.6,90.8,0.59,35.59
2018-07-30,54.0,74.9,95.8,0.72,44.11
2018-07-31,55.0,71.2,87.5,1.13,26.31
2018-08-01,51.4,69.7,88.0,0.65,29.37
2018-08-02,50.8,68.4,86.0,0.65,27.08
2018-08-03,52.0,62.6,73.2,0.89,12.67
2018-08-04,51.3,64.0,76.7,0.62,16.76
2018-08-05,50.2,67.9,85.5,0.48,28.28
2018-08-06,50.7,69.7,88.8,0.69,32.91
2018-08-07,54.2,71.2,88.1,0.68,29.02
2018-08-08,55.1,74.2,93.3,0.73,36.86
2018-08-09,54.2,72.7,91.1,0.95,33.53
2018-08-10,54.3,74.8,95.3,0.83,41.91
2018-08-11,56.3,71.8,87.3,1.11,27.14
2018-08-12,51.8,64.5,77.1,0.48,17.12
2018-08-13,49.6,65.0,80.5,0.30,22.08
2018-08-14,52.6,70.3,88.1,0.80,31.09
2018-08-15,53.8,72.9,92.0,0.73,38.57
2018-08-16,54.7,69.3,83.8,0.53,20.83
2018-08-17,48.1,64.9,81.8,0.51,20.67
2018-08-18,46.7,64.4,82.1,0.50,29.08
2018-08-19,47.7,67.3,86.9,0.85,31.40
2018-08-20,50.3,67.6,85.0,0.62,25.75
2018-08-21,51.4,66.4,81.4,0.57,20.80
2018-08-22,54.3,73.2,92.2,1.41,39.63
2018-08-23,50.4,69.7,89.1,0.71,32.97
2018-08-24,49.6,58.5,67.3,0.64,8.27
2018-08-25,44.8,58.5,72.3,0.62,16.55
2018-08-26,44.2,59.9,75.7,0.48,18.47
2018-08-27,51.9,61.3,70.8,0.94,12.70
2018-08-28,54.9,66.0,77.1,1.24,19.61
2018-08-29,49.0,68.4,87.7,1.52,37.02
2018-08-30,47.5,64.6,81.7,0.90,23.01
2018-08-31,48.9,60.4,71.8,0.37,12.07
2018-09-01,49.0,63.2,77.5,0.75,18.89
2018-09-02,49.0,62.2,75.3,1.35,18.57
2018-09-03,48.4,65.5,82.6,1.06,28.06
2018-09-04,46.9,63.5,80.0,1.13,22.97
2018-09-05,44.8,63.1,81.4,1.37,26.35
2018-09-06,47.2,67.9,88.5,0.83,35.58
2018-09-07,47.0,65.5,83.9,0.76,25.68
2018-09-08,45.6,64.0,82.4,0.57,25.00
2018-09-09,47.4,61.9,76.4,0.52,18.71
2018-09-10,45.2,62.3,79.3,0.34,22.81
2018-09-11,50.8,62.0,73.2,0.72,16.08
2018-09-12,49.7,59.0,68.2,0.34,11.98
2018-09-13,46.7,55.8,64.9,0.19,7.35
2018-09-14,45.4,56.0,66.6,0.17,8.96
2018-09-15,43.9,56.6,69.3,0.13,12.13
2018-09-16,43.7,54.9,66.0,0.17,10.47
2018-09-17,44.8,55.4,66.0,0.28,8.65
2018-09-18,42.6,55.2,67.7,0.22,12.77
2018-09-19,40.6,55.9,71.2,0.22,16.35
2018-09-20,40.6,56.3,71.9,0.20,16.82
2018-09-21,44.0,58.5,73.0,0.22,18.04
2018-09-22,44.7,60.3,75.9,0.37,17.56
2018-09-23,42.1,54.9,67.7,0.17,10.12
2018-09-24,40.3,54.6,68.9,0.14,16.11
2018-09-25,40.5,56.2,72.0,0.48,17.59
2018-09-26,47.2,63.8,80.3,1.79,27.35
2018-09-27,46.6,65.4,84.2,1.59,32.14
2018-09-28,46.7,66.3,85.8,0.88,30.99
2018-09-29,45.8,66.4,87.0,0.48,31.41
2018-09-30,52.2,59.3,66.4,0.58,8.91
2018-10-01,52.1,61.4,70.7,0.35,12.38
2018-10-02,54.5,63.6,72.8,1.03,14.27
2018-10-03,38.2,54.9,71.6,0.22,14.28
2018-10-04,37.0,52.6,68.2,0.16,15.40
2018-10-05,39.3,52.9,66.4,0.37,14.18
2018-10-06,42.0,49.2,56.3,0.36,2.35
2018-10-07,41.8,52.8,63.7,0.14,7.51
2018-10-08,42.7,50.1,57.5,0.05,4.14
2018-10-09,52.2,59.0,65.7,0.11,4.50
2018-10-10,40.5,53.1,65.7,0.14,10.81
2018-10-11,40.1,53.2,66.3,0.16,10.90
2018-10-12,38.3,53.9,69.6,0.28,16.97
2018-10-13,36.4,54.6,72.7,0.20,19.63
2018-10-14,41.3,56.3,71.4,0.29,18.34
2018-10-15,38.9,55.8,72.8,2.88,23.80
2018-10-16,36.3,55.7,75.1,1.27,23.83
2018-10-17,34.9,57.4,79.8,0.68,27.34
2018-10-18,36.6,57.0,77.5,0.37,25.32
2018-10-19,34.9,55.3,75.8,0.03,21.10
2018-10-20,35.6,54.9,74.3,0.09,18.62
2018-10-21,37.8,55.3,72.8,0.10,16.72
2018-10-22,35.6,53.3,71.0,0.03,14.30
2018-10-23,36.6,53.2,69.9,0.06,12.57
2018-10-24,39.6,49.1,58.5,0.07,5.12
2018-10-25,43.4,52.8,62.2,0.01,6.32
2018-10-26,45.2,52.5,59.8,0.24,5.11
2018-10-27,51.7,57.3,62.9,0.16,3.72
2018-10-28,49.6,56.8,64.1,0.13,4.16
2018-10-29,47.3,54.8,62.2,0.27,7.66
2018-10-30,38.7,49.3,59.9,0.01,5.77
2018-10-31,40.1,47.2,54.4,0.05,2.86
2018-11-01,49.7,53.8,57.9,0.24,1.20
2018-11-02,55.1,59.5,63.9,0.64,3.92
2018-11-03,44.6,54.8,64.9,0.14,9.72
2018-11-04,43.8,50.8,57.9,0.06,3.92
2018-11-05,45.5,54.2,62.9,0.20,9.12
2018-11-06,44.4,51.6,58.8,0.23,5.82
2018-11-07,35.2,46.6,57.9,0.05,7.49
2018-11-08,34.7,43.9,53.0,0.09,4.78
2018-11-09,29.7,40.7,51.7,0.05,4.61
2018-11-10,28.3,38.6,49.0,0.06,3.35
2018-11-11,29.8,40.1,50.4,0.03,4.25
2018-11-12,30.8,43.7,56.7,0.35,8.94
2018-11-13,30.9,44.3,57.7,0.44,9.86
2018-11-14,30.2,39.9,49.7,0.09,4.87
2018-11-15,34.6,43.9,53.2,0.10,4.12
2018-11-16,36.8,45.8,54.9,0.05,3.89
2018-11-17,38.6,48.1,57.5,0.07,3.85
2018-11-18,35.4,48.0,60.5,1.02,11.83
2018-11-19,30.2,43.1,56.0,0.18,7.98
2018-11-20,28.8,41.5,54.1,0.09,6.91
2018-11-21,27.9,38.6,49.4,0.02,4.20
2018-11-22,39.3,44.9,50.5,0.16,1.98
2018-11-23,45.0,47.5,50.1,0.36,1.82
2018-11-24,35.7,43.6,51.5,0.06,2.33
2018-11-25,34.2,40.7,47.1,0.03,1.09
2018-11-26,38.8,41.9,45.1,0.05,1.29
2018-11-27,41.9,49.9,57.8,0.09,5.34
2018-11-28,45.3,52.5,59.8,0.15,4.47
2018-11-29,43.9,48.7,53.6,0.10,2.62
2018-11-30,41.4,45.5,49.6,0.26,2.29
2018-12-01,39.5,44.2,48.9,0.17,1.99
2018-12-02,37.7,41.5,45.4,0.22,2.00
2018-12-03,31.2,40.2,49.1,0.06,3.83
2018-12-04,30.4,37.0,43.6,0.05,2.22
2018-12-05,30.0,39.8,49.6,0.57,6.42
2018-12-06,26.7,36.9,47.1,0.29,5.45
2018-12-07,25.6,35.0,44.3,0.45,4.78
2018-12-08,25.0,31.7,38.4,0.11,2.47
2018-12-09,35.0,37.8,40.6,0.06,0.62
2018-12-10,35.1,37.7,40.4,0.03,0.97
2018-12-11,35.1,42.7,50.3,0.00,1.53
2018-12-12,40.1,45.6,51.1,0.18,2.20
2018-12-13,35.8,43.7,51.6,0.05,3.44
2018-12-14,32.4,42.6,52.9,0.02,5.33
2018-12-15,31.3,42.4,53.6,0.07,5.02
2018-12-16,35.7,40.6,45.5,0.01,1.75
2018-12-17,39.7,45.4,51.1,0.00,1.46
2018-12-18,40.2,45.9,51.5,0.01,3.05
2018-12-19,42.6,49.7,56.8,0.11,4.31
2018-12-20,42.0,47.4,52.8,0.03,2.60
2018-12-21,32.3,43.1,53.8,0.05,3.21
2018-12-22,29.5,37.9,46.3,0.02,2.10
2018-12-23,29.5,37.9,46.3,0.02,1.94
2018-12-24,43.9,47.6,51.4,0.03,1.71
2018-12-25,39.0,43.7,48.4,0.12,1.98
2018-12-26,34.8,40.7,46.6,0.03,2.87
2018-12-27,34.8,40.4,46.0,0.06,1.40
2018-12-28,35.4,42.1,48.9,0.06,3.24
2018-12-29,38.9,42.6,46.4,0.07,2.03
2018-12-30,43.0,47.4,51.8,0.17,2.92
2018-12-31,30.5,40.1,49.7,0.04,4.66
2019-01-01,27.8,36.6,45.3,0.00,3.39
2019-01-02,26.6,33.2,39.8,0.02,1.64
2019-01-03,26.9,36.7,46.5,0.04,2.96
2019-01-04,42.6,47.9,53.3,0.54,5.10
2019-01-05,36.4,42.6,48.7,0.04,1.10
2019-01-06,38.6,43.4,48.1,0.06,2.16
2019-01-07,33.6,38.9,44.3,0.09,1.79
2019-01-08,31.4,37.9,44.4,0.02,1.81
2019-01-09,38.8,42.2,45.6,0.13,1.33
2019-01-10,37.6,45.1,52.5,0.07,2.31
2019-01-11,40.6,48.6,56.7,0.06,4.55
2019-01-12,33.5,42.5,51.4,0.04,4.23
2019-01-13,30.8,40.3,49.8,0.06,3.95
2019-01-14,28.9,39.7,50.6,0.09,5.48
2019-01-15,26.3,37.1,48.0,0.10,5.23
2019-01-16,30.5,36.9,43.3,0.60,3.70
2019-01-17,32.0,36.7,41.4,0.08,1.89
2019-01-18,37.7,43.9,50.2,0.04,2.53
2019-01-19,39.1,46.0,52.8,0.17,1.64
2019-01-20,43.9,48.7,53.5,0.12,3.32
2019-01-21,35.1,40.2,45.3,0.01,1.22
2019-01-22,33.7,40.9,48.1,0.02,2.74
2019-01-23,38.7,44.0,49.4,0.32,1.62
2019-01-24,37.3,45.3,53.2,0.04,3.19
2019-01-25,34.4,42.6,50.7,0.01,3.70
2019-01-26,32.1,41.4,50.7,0.04,3.86
2019-01-27,31.0,36.2,41.5,0.01,0.58
2019-01-28,35.8,39.1,42.3,0.02,0.82
2019-01-29,32.5,42.6,52.8,0.09,6.96
2019-01-30,29.1,40.8,52.4,0.11,6.58
2019-01-31,28.2,39.9,51.6,0.01,5.41
2019-02-01,28.0,39.4,50.8,0.01,3.77
2019-02-02,41.0,46.5,51.9,0.05,1.61
2019-02-03,38.6,44.9,51.2,0.00,2.06
2019-02-04,32.9,39.0,45.0,0.06,2.48
2019-02-05,28.7,34.7,40.6,0.05,2.50
2019-02-06,28.7,33.3,37.9,0.05,1.07
2019-02-07,24.7,31.2,37.6,0.03,2.04
2019-02-08,25.5,31.2,37.0,0.13,1.98
2019-02-09,29.5,34.6,39.6,0.12,1.39
2019-02-10,27.6,33.3,38.9,0.10,1.91
2019-02-11,26.6,32.5,38.5,0.26,2.00
2019-02-12,37.7,41.1,44.5,0.13,1.35
2019-02-13,37.4,41.2,45.0,0.05,1.77
2019-02-14,37.6,41.1,44.5,0.03,1.13
2019-02-15,36.0,40.2,44.5,0.05,1.92
2019-02-16,36.0,41.0,45.9,0.12,3.19
2019-02-17,30.9,38.2,45.5,0.04,2.81
2019-02-18,28.8,35.4,42.0,0.06,2.18
2019-02-19,28.0,36.3,44.6,0.04,3.21
2019-02-20,33.8,38.7,43.7,0.12,1.74
2019-02-21,30.8,37.8,44.8,0.01,2.20
2019-02-22,28.3,37.5,46.7,0.11,5.72
2019-02-23,27.6,36.6,45.6,0.06,3.84
2019-02-24,34.1,39.6,45.1,0.00,1.47
2019-02-25,31.3,36.2,41.1,0.02,0.89
2019-02-26,26.4,31.1,35.8,0.01,1.24
2019-02-27,26.3,32.6,38.8,0.04,2.83
2019-02-28,26.9,31.7,36.5,0.05,1.23
2019-03-01,27.8,34.0,40.2,0.02,1.36
2019-03-02,29.7,40.3,51.0,0.06,5.52
2019-03-03,28.8,39.6,50.4,0.20,6.15
2019-03-04,24.8,35.7,46.6,1.55,6.88
2019-03-05,23.0,33.5,43.9,1.17,5.75
2019-03-06,25.3,32.9,40.4,1.18,4.55
2019-03-07,31.4,34.3,37.2,0.03,2.19
2019-03-08,29.1,37.7,46.3,0.05,3.60
2019-03-09,27.9,35.9,43.9,0.00,2.40
2019-03-10,30.5,37.6,44.6,0.11,2.88
2019-03-11,27.2,39.6,52.1,0.35,7.56
2019-03-12,26.1,43.1,60.0,0.18,10.99
2019-03-13,35.6,43.0,50.4,0.06,5.12
2019-03-14,31.5,42.6,53.7,0.03,6.90
2019-03-15,29.9,43.6,57.3,0.01,9.29
2019-03-16,30.8,46.1,61.5,0.13,11.32
2019-03-17,32.4,46.9,61.4,0.12,10.26
2019-03-18,34.4,50.9,67.4,0.20,14.18
2019-03-19,40.1,57.3,74.5,1.99,22.69
2019-03-20,41.6,58.2,74.8,1.67,20.98
2019-03-21,42.2,55.9,69.6,0.88,16.58
2019-03-22,36.0,46.3,56.6,0.04,5.22
2019-03-23,38.2,46.0,53.8,0.04,2.71
2019-03-24,37.6,46.6,55.6,0.05,4.98
2019-03-25,36.4,48.5,60.5,0.03,10.62
2019-03-26,34.5,42.6,50.7,0.02,3.50
2019-03-27,32.3,45.8,59.2,0.04,10.52
2019-03-28,37.7,46.6,55.5,0.07,5.43
2019-03-29,37.9,49.2,60.5,0.06,9.13
2019-03-30,38.4,50.2,62.0,0.04,9.77
2019-03-31,36.0,50.5,65.1,0.03,12.35
2019-04-01,37.6,52.5,67.4,0.13,13.19
2019-04-02,48.4,52.6,56.9,0.10,1.73
2019-04-03,49.8,54.7,59.7,0.08,3.31
2019-04-04,46.2,52.3,58.3,0.34,6.29
2019-04-05,45.3,51.6,57.9,0.03,3.31
2019-04-06,41.8,48.4,55.0,0.08,4.78
2019-04-07,44.3,49.5,54.7,0.03,2.78
2019-04-08,46.7,50.6,54.4,0.02,1.84
2019-04-09,45.1,51.3,57.4,0.04,2.77
2019-04-10,44.0,49.8,55.6,0.50,6.77
2019-04-11,44.3,48.6,52.9,0.25,3.19
2019-04-12,45.6,49.3,53.1,0.12,3.27
2019-04-13,41.1,50.8,60.6,0.17,7.94
2019-04-14,39.2,45.0,50.9,0.21,2.75
2019-04-15,35.8,44.3,52.8,0.05,5.77
2019-04-16,35.1,41.9,48.6,0.06,2.53
2019-04-17,43.7,52.0,60.4,0.10,7.17
2019-04-18,45.5,55.7,65.8,0.11,9.93
2019-04-19,45.3,61.2,77.1,0.20,17.38
2019-04-20,47.6,56.4,65.3,0.21,6.74
2019-04-21,44.4,52.8,61.2,0.32,7.07
2019-04-22,39.5,51.0,62.4,0.08,9.26
2019-04-23,39.2,53.6,68.0,0.15,12.32
2019-04-24,45.7,55.5,65.3,0.91,7.12
2019-04-25,43.3,54.4,65.5,1.61,12.90
2019-04-26,41.4,56.5,71.7,0.87,16.79
2019-04-27,39.5,54.0,68.5,0.51,16.72
2019-04-28,33.0,46.7,60.3,0.38,11.49
2019-04-29,33.0,49.1,65.1,0.49,15.50
2019-04-30,44.8,55.6,66.5,4.35,17.25
2019-05-01,36.2,52.5,68.8,0.94,19.59
2019-05-02,33.3,50.9,68.6,0.37,17.74
2019-05-03,34.8,49.3,63.8,0.21,12.26
2019-05-04,37.8,54.1,70.4,0.31,15.89
2019-05-05,42.4,57.5,72.6,0.31,16.08
2019-05-06,43.8,60.0,76.2,0.44,19.69
2019-05-07,41.5,61.2,80.8,0.30,24.57
2019-05-08,43.7,59.9,76.1,0.42,19.26
2019-05-09,43.5,59.8,76.0,0.42,18.12
2019-05-10,46.9,65.5,84.2,1.29,31.89
2019-05-11,44.8,64.7,84.6,1.15,32.71
2019-05-12,43.3,62.0,80.8,0.36,22.92
2019-05-13,42.9,58.4,73.9,0.25,16.81
2019-05-14,46.1,57.0,67.9,1.10,12.10
2019-05-15,47.1,53.5,59.9,0.21,4.53
2019-05-16,48.7,54.3,60.0,0.37,3.12
2019-05-17,48.4,54.9,61.4,0.28,6.61
2019-05-18,48.5,55.0,61.5,0.10,9.30
2019-05-19,46.6,57.4,68.3,0.12,10.37
2019-05-20,45.1,54.3,63.6,0.10,10.18
2019-05-21,47.6,57.1,66.6,0.26,13.22
2019-05-22,47.3,56.0,64.7,0.17,9.13
2019-05-23,47.4,58.2,69.0,0.20,9.89
2019-05-24,47.8,60.8,73.8,0.30,11.66
2019-05-25,47.5,55.0,62.5,0.53,7.85
2019-05-26,45.1,51.0,57.0,0.25,4.67
2019-05-27,47.3,59.1,71.0,0.37,10.00
2019-05-28,51.5,58.2,65.0,0.65,5.96
2019-05-29,46.2,57.0,67.8,0.26,9.17
2019-05-30,45.2,60.6,76.1,0.26,16.52
2019-05-31,46.6,62.1,77.6,0.27,16.68
2019-06-01,48.5,64.5,80.5,0.24,18.54
2019-06-02,47.8,64.4,81.0,0.22,21.77
2019-06-03,45.2,62.6,80.0,0.36,19.07
2019-06-04,44.5,59.4,74.3,0.56,18.64
2019-06-05,44.1,61.4,78.6,0.67,24.16
2019-06-06,47.4,58.8,70.2,1.46,13.24
2019-06-07,45.3,54.1,62.8,0.48,10.78
2019-06-08,43.1,53.3,63.4,0.38,10.41
2019-06-09,44.6,56.4,68.2,0.67,13.54
2019-06-10,46.7,64.1,81.4,1.07,28.15
2019-06-11,53.0,69.3,85.6,3.29,29.16
2019-06-12,58.4,75.4,92.4,1.70,35.10
2019-06-13,57.9,77.0,96.1,0.92,42.69
2019-06-14,47.8,66.3,84.8,0.63,24.08
2019-06-15,46.8,61.9,77.1,0.48,19.10
2019-06-16,49.3,64.5,79.6,0.72,20.72
2019-06-17,49.7,66.1,82.5,0.45,24.38
2019-06-18,50.7,66.7,82.8,0.50,22.83
2019-06-19,44.3,60.8,77.2,0.59,18.07
2019-06-20,44.1,58.2,72.4,0.54,16.31
2019-06-21,47.4,57.7,67.9,0.93,13.31
2019-06-22,45.9,58.9,71.9,0.36,15.40
2019-06-23,46.0,60.5,75.1,0.32,16.63
2019-06-24,47.1,60.0,72.8,0.72,15.44
2019-06-25,47.5,61.1,74.6,1.32,19.11
2019-06-26,48.5,60.6,72.8,0.92,15.30
2019-06-27,47.6,60.2,72.8,0.34,16.31
2019-06-28,46.5,54.9,63.3,0.08,6.27
2019-06-29,45.8,59.6,73.4,0.10,16.70
2019-06-30,46.2,62.5,78.9,0.21,20.87
2019-07-01,48.6,65.2,81.8,0.32,24.42
2019-07-02,52.9,61.7,70.4,0.65,10.02
2019-07-03,52.5,60.3,68.1,0.87,10.18
2019-07-04,49.3,62.3,75.2,0.41,16.77
2019-07-05,48.3,65.7,83.1,0.28,23.75
2019-07-06,50.3,63.1,75.9,0.36,16.04
2019-07-07,50.1,59.3,68.6,0.45,10.78
2019-07-08,49.1,63.5,77.9,0.37,19.51
2019-07-09,49.3,64.9,80.5,0.26,22.21
2019-07-10,56.1,63.5,70.9,0.25,10.72
2019-07-11,57.9,65.7,73.5,0.43,9.12
2019-07-12,54.8,68.2,81.6,0.30,21.86
2019-07-13,55.9,69.3,82.7,0.54,21.84
2019-07-14,53.9,68.1,82.2,0.56,22.41
2019-07-15,52.5,68.9,85.2,0.40,27.68
2019-07-16,57.4,66.3,75.2,0.68,11.16
2019-07-17,54.3,67.0,79.7,0.53,18.22
2019-07-18,55.7,66.3,76.9,1.06,14.49
2019-07-19,50.7,63.8,76.8,1.29,20.45
2019-07-20,48.3,62.1,75.9,0.90,20.16
2019-07-21,49.7,67.3,84.9,0.77,30.35
2019-07-22,51.2,68.5,85.9,0.50,26.30
2019-07-23,50.8,67.6,84.4,0.51,26.93
2019-07-24,48.4,62.9,77.5,0.34,16.74
2019-07-25,47.7,64.4,81.1,0.23,25.14
2019-07-26,51.1,70.6,90.1,0.76,38.49
2019-07-27,53.2,71.3,89.4,0.58,32.36
2019-07-28,53.5,67.4,81.2,0.62,21.69
2019-07-29,51.0,68.0,85.0,0.47,29.92
2019-07-30,50.2,66.1,82.0,0.34,22.18
2019-07-31,50.7,64.8,78.9,0.66,20.68
2019-08-01,49.4,67.3,85.1,0.40,26.14
2019-08-02,50.8,69.8,88.8,0.42,31.20
2019-08-03,57.5,69.3,81.1,0.67,16.74
2019-08-04,56.7,72.6,88.4,0.71,32.25
2019-08-05,54.7,72.8,90.8,0.74,33.25
2019-08-06,54.5,71.3,88.1,0.85,26.74
2019-08-07,55.0,69.4,83.8,0.62,21.05
2019-08-08,56.8,65.2,73.5,1.20,10.83
2019-08-09,58.5,64.8,71.1,0.70,10.03
2019-08-10,52.9,64.5,76.1,0.35,15.12
2019-08-11,51.8,62.2,72.6,0.45,11.55
2019-08-12,49.9,63.6,77.3,0.35,19.29
2019-08-13,49.1,66.8,84.6,0.25,28.28
2019-08-14,51.7,70.7,89.6,0.58,33.05
2019-08-15,52.9,70.8,88.8,0.51,30.76
2019-08-16,52.1,68.3,84.5,0.31,26.66
2019-08-17,51.1,65.3,79.4,0.49,21.11
2019-08-18,51.9,65.0,78.1,0.69,18.60
2019-08-19,50.6,66.5,82.3,0.41,23.84
2019-08-20,50.8,66.5,82.2,0.41,22.64
2019-08-21,49.4,66.2,83.0,0.31,21.95
2019-08-22,52.4,60.9,69.4,0.50,7.53
2019-08-23,50.4,63.1,75.8,0.63,18.17
2019-08-24,49.3,67.1,85.0,0.34,27.40
2019-08-25,49.3,66.4,83.6,0.54,26.08
2019-08-26,52.0,66.3,80.7,0.96,24.09
2019-08-27,51.4,68.8,86.2,1.94,31.12
2019-08-28,52.6,75.4,98.2,1.85,52.10
2019-08-29,53.7,74.6,95.6,1.50,43.90
2019-08-30,60.0,72.5,85.0,1.38,23.57
2019-08-31,51.8,66.1,80.4,0.70,19.48
2019-09-01,50.9,67.6,84.3,0.51,23.80
2019-09-02,53.1,67.8,82.5,0.60,22.88
2019-09-03,52.7,67.8,83.0,0.45,24.38
2019-09-04,52.4,66.8,81.2,0.44,18.94
2019-09-05,55.4,68.5,81.7,1.17,22.72
2019-09-06,57.8,74.5,91.2,1.41,33.22
2019-09-07,57.1,69.4,81.6,1.03,19.22
2019-09-08,57.7,63.1,68.5,0.85,7.69
2019-09-09,56.4,63.2,70.0,0.17,9.49
2019-09-10,55.3,61.0,66.6,0.23,5.24
2019-09-11,52.4,61.2,70.1,0.08,9.05
2019-09-12,50.9,62.6,74.3,0.09,15.27
2019-09-13,49.7,65.5,81.3,0.04,20.82
2019-09-14,53.0,64.7,76.5,0.12,16.22
2019-09-15,52.2,64.4,76.6,0.12,15.99
2019-09-16,53.2,56.9,60.5,0.18,3.26
2019-09-17,52.8,59.9,67.1,0.21,9.38
2019-09-18,54.8,58.8,62.8,0.44,4.36
2019-09-19,49.2,57.2,65.3,0.03,6.20
2019-09-20,50.2,60.0,69.9,0.05,11.10
2019-09-21,51.6,61.3,70.9,0.06,10.61
2019-09-22,52.1,61.7,71.2,0.13,10.56
2019-09-23,51.4,58.0,64.5,0.07,3.16
2019-09-24,50.3,59.9,69.4,0.09,12.08
2019-09-25,54.1,64.5,75.0,0.73,12.71
2019-09-26,49.1,60.5,72.0,0.44,14.98
2019-09-27,46.9,59.0,71.2,0.24,9.61
2019-09-28,44.9,55.6,66.3,0.23,11.56
2019-09-29,38.0,48.3,58.7,0.04,7.30
